htg_name,htg_description,fpga_pin
FMC_A_LA[21]_N,User Defined I/O,J15
FMC_A_LA[21]_P,User Defined I/O,K15
FMC_A_LA[22]_N,User Defined I/O,F14
FMC_A_LA[22]_P,User Defined I/O,G14
FMC_A_LA[23]_N,User Defined I/O,A12
FMC_A_LA[23]_P,User Defined I/O,A13
FMC_A_LA[24]_N,User Defined I/O,L15
FMC_A_LA[24]_P,User Defined I/O,M15
FMC_A_LA[25]_N,User Defined I/O,H13
FMC_A_LA[25]_P,User Defined I/O,J13
FMC_A_LA[26]_N,User Defined I/O,F12
FMC_A_LA[26]_P,User Defined I/O,F13
FMC_A_LA[27]_N,User Defined I/O,E12
FMC_A_LA[27]_P,User Defined I/O,E13
FMC_A_LA[28]_N,User Defined I/O,M14
FMC_A_LA[28]_P,User Defined I/O,N14
FMC_A_LA[29]_N,User Defined I/O,L12
FMC_A_LA[29]_P,User Defined I/O,L13
FMC_A_LA[30]_N,User Defined I/O,N13
FMC_A_LA[30]_P,User Defined I/O,P13
FMC_A_LA[31]_N,User Defined I/O,M12
FMC_A_LA[31]_P,User Defined I/O,N12
FMC_A_LA[32]_N,User Defined I/O,R12
FMC_A_LA[32]_P,User Defined I/O,R13
FMC_A_LA[33]_N,User Defined I/O,P14
FMC_A_LA[33]_P,User Defined I/O,P15
FPGA_GC_FMC_A_N,,H17
FPGA_GC_FMC_A_P,,H18
FMC_A_PG_M2C_F,,A14
FMC_A_PRSNT_M2C_L_F,,B16
CLK_GTH_FMC_A_N,,AE7
CLK_GTH_FMC_A_P,,AE8
